=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-4b-pt (dtype=bfloat16)

  loading google/gemma-3-4b-pt (dtype=bfloat16) ...
  loaded in 10.0s
  baseline (no ablation, NV pairs) ...
  sampling 272 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    L17.H0      +0.011     +0.015    -0.031    +0.043
    L 3.H4      -0.057     -0.055    +0.058    -0.115
    L17.H4      +0.004     +0.025    +0.002    +0.003
    L22.H4      -0.040     -0.114    +0.066    -0.105
    L16.H5      +0.008     +0.038    +0.010    -0.002
    L27.H1      +0.025     +0.031    -0.004    +0.028
    L23.H4      +0.010     +0.000    +0.006    +0.004
    L16.H6      -0.018     -0.032    +0.010    -0.028
    L16.H7      +0.012     +0.006    -0.011    +0.023
    L25.H2      -0.002     +0.023    +0.002    -0.004
    L24.H0      -0.012     -0.029    -0.026    +0.014
    L 1.H0      +0.003     -0.040    +0.002    +0.000
    L 6.H7      +0.019     +0.031    -0.013    +0.031
    L11.H6      +0.009     +0.054    -0.001    +0.010
    L30.H6      +0.011     +0.026    -0.002    +0.013
    L27.H4      +0.023     +0.017    +0.017    +0.006
    L25.H1      +0.024     +0.039    -0.019    +0.043
    L19.H4      -0.046     -0.088    -0.016    -0.029
    L21.H3      +0.026     -0.025    -0.029    +0.054
    L 4.H4      +0.057     +0.059    -0.060    +0.117
    L11.H7      +0.010     +0.034    -0.000    +0.010
    L20.H1      +0.000     +0.019    +0.012    -0.012
    L18.H0      +0.032     -0.008    +0.013    +0.019
    L15.H0      +0.106     +0.108    +0.006    +0.100
    L 0.H0      +0.096     +0.065    +0.002    +0.094
    L 1.H6      +0.035     +0.040    -0.009    +0.045
    L12.H4      +0.001     +0.097    +0.024    -0.024
    L12.H0      +0.009     +0.029    -0.032    +0.042
    L31.H0      -0.020     -0.009    +0.020    -0.040
    L20.H3      -0.013     +0.009    -0.004    -0.008
    L20.H4      -0.037     -0.086    -0.059    +0.023
    L23.H1      -0.003     +0.017    -0.012    +0.009
    L19.H2      -0.064     -0.043    -0.012    -0.052
    L14.H2      -0.008     -0.021    +0.072    -0.080
    L 0.H7      -0.011     -0.033    +0.021    -0.032
    L13.H3      +0.007     -0.004    -0.008    +0.016
    L 1.H7      -0.002     -0.001    -0.038    +0.036
    L14.H6      -0.064     -0.135    +0.015    -0.079
    L 9.H7      +0.006     +0.000    -0.009    +0.015
    L28.H1      +0.004     -0.004    +0.006    -0.002
    L18.H4      +0.019     -0.001    -0.003    +0.021
    L31.H4      +0.007     +0.013    +0.014    -0.007
    L16.H1      +0.074     -0.000    +0.008    +0.066
    L22.H5      +0.119     +0.199    +0.054    +0.064
    L11.H3      +0.021     +0.022    +0.019    +0.002
    L 7.H1      -0.077     -0.112    +0.009    -0.086
    L18.H3      +0.021     +0.040    +0.025    -0.004
    L 7.H5      +0.006     +0.016    +0.029    -0.022
    L11.H4      +0.009     -0.021    -0.003    +0.012
    L18.H5      -0.001     +0.038    -0.024    +0.024
    L 6.H5      -0.008     -0.008    +0.015    -0.023
    L10.H3      +0.081     +0.047    +0.020    +0.062
    L 6.H1      +0.046     +0.068    -0.002    +0.048
    L11.H1      +0.005     +0.025    +0.010    -0.005
    L 2.H7      +0.047     +0.035    +0.004    +0.042
    L26.H1      -0.013     -0.006    -0.004    -0.009
    L 3.H0      +0.122     +0.144    +0.016    +0.106
    L25.H4      -0.022     -0.018    +0.018    -0.040
    L 2.H3      -0.056     -0.082    -0.024    -0.032
    L31.H1      +0.004     +0.002    +0.007    -0.003
    L 8.H6      +0.016     +0.013    +0.025    -0.009
    L30.H0      -0.046     -0.026    -0.013    -0.033
    L 0.H1      +0.018     +0.015    -0.061    +0.078
    L13.H1      -0.031     -0.067    -0.028    -0.003
    L 9.H1      -0.017     -0.022    +0.033    -0.050
    L28.H2      -0.026     -0.004    -0.010    -0.016
    L17.H3      +0.007     +0.017    -0.018    +0.026
    L21.H1      -0.042     +0.028    +0.039    -0.082
    L 8.H7      -0.040     -0.021    -0.042    +0.002
    L 3.H6      +0.023     -0.008    +0.009    +0.014
    L15.H1      -0.045     -0.060    +0.044    -0.089
    L 0.H3      -0.080     -0.081    -0.078    -0.003
    L25.H6      -0.011     +0.014    -0.005    -0.006
    L32.H5      +0.026     +0.001    -0.008    +0.034
    L13.H0      -0.058     -0.073    +0.009    -0.067
    L19.H0      +0.089     +0.038    -0.011    +0.100
    L 1.H5      +0.045     +0.035    -0.004    +0.048
    L 9.H5      -0.016     +0.004    +0.016    -0.031
    L30.H2      +0.013     +0.017    -0.005    +0.018
    L27.H2      -0.018     -0.006    -0.004    -0.014
    L 2.H6      +0.102     +0.050    -0.032    +0.133
    L 7.H4      -0.016     +0.028    -0.027    +0.011
    L 7.H6      +0.012     -0.016    +0.019    -0.007
    L31.H7      -0.018     -0.029    +0.014    -0.032
    L23.H3      +0.033     +0.053    +0.015    +0.018
    L31.H3      -0.003     +0.009    -0.012    +0.009
    L 2.H0      -0.002     -0.021    -0.005    +0.003
    L 5.H3      -0.000     +0.009    -0.027    +0.026
    L 9.H6      -0.005     -0.011    +0.009    -0.013
    L27.H5      -0.004     -0.000    +0.002    -0.006
    L10.H7      -0.026     -0.009    +0.003    -0.029
    L 2.H2      -0.083     -0.156    -0.031    -0.053
    L31.H5      -0.004     +0.011    -0.009    +0.005
    L 4.H2      -0.005     +0.032    -0.000    -0.005
    L 5.H1      -0.009     -0.001    +0.002    -0.012
    L18.H2      +0.017     -0.013    -0.052    +0.069
    L20.H7      +0.126     +0.108    +0.024    +0.102
    L33.H1      -0.001     -0.009    -0.011    +0.011
    L 8.H5      -0.034     -0.081    +0.046    -0.080
    L27.H6      +0.023     +0.031    +0.001    +0.022
    L22.H6      -0.014     -0.025    +0.013    -0.027
    L 5.H6      -0.007     -0.020    -0.018    +0.011
    L 6.H3      +0.049     +0.060    -0.033    +0.082
    L19.H5      +0.061     +0.078    +0.039    +0.022
    L10.H4      -0.004     +0.018    -0.042    +0.038
    L33.H5      +0.122     +0.086    +0.147    -0.026
    L31.H2      +0.021     -0.001    -0.001    +0.022
    L 5.H0      +0.004     +0.019    +0.027    -0.023
    L26.H6      -0.005     -0.022    -0.027    +0.022
    L 9.H4      +0.002     -0.007    -0.022    +0.024
    L23.H0      -0.009     +0.001    -0.003    -0.006
