=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-1b-pt (dtype=bfloat16)

  loading google/gemma-3-1b-pt (dtype=bfloat16) ...
  loaded in 6.5s
  baseline (no ablation, NV pairs) ...
  sampling 104 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    --------------------------------------------------
    L24.H0      -0.015     +0.031    -0.047    +0.032
    L 9.H2      -0.039     +0.021    +0.014    -0.053
    L17.H2      +0.061     +0.060    +0.011    +0.049
    L16.H2      -0.026     -0.116    +0.003    -0.029
    L19.H3      +0.165     +0.154    +0.041    +0.124
    L 0.H2      +0.121     +0.207    +0.049    +0.071
    L25.H0      +0.082     +0.087    +0.074    +0.008
    L 2.H2      +0.074     +0.036    +0.068    +0.006
    L10.H3      -0.070     -0.016    +0.043    -0.113
    L23.H3      +0.005     +0.030    +0.012    -0.007
    L18.H3      -0.029     -0.012    +0.012    -0.041
    L 0.H3      +0.031     +0.184    +0.148    -0.117
    L17.H0      +0.008     +0.043    +0.042    -0.034
    L10.H0      +0.166     +0.018    -0.040    +0.205
    L15.H0      -0.065     -0.032    +0.026    -0.091
    L19.H0      +0.078     +0.003    -0.017    +0.095
    L23.H0      -0.006     +0.010    -0.006    +0.000
    L 5.H3      +0.022     +0.067    +0.043    -0.021
    L16.H0      -0.039     +0.079    +0.053    -0.092
    L13.H2      +0.150     +0.025    +0.245    -0.095
    L20.H2      +0.012     +0.104    +0.033    -0.020
    L 7.H0      -0.042     -0.016    -0.013    -0.029
    L12.H0      +0.071     +0.116    +0.125    -0.055
    L 1.H1      +0.008     +0.084    +0.046    -0.038
    L 7.H1      +0.004     +0.032    +0.065    -0.061
    L 6.H0      -0.063     -0.068    +0.011    -0.074
    L 1.H3      +0.236     +0.300    +0.151    +0.085
    L 1.H2      +0.035     +0.028    -0.006    +0.041
    L 3.H2      -0.002     +0.047    +0.028    -0.030
    L 5.H0      +0.025     +0.062    -0.086    +0.111
    L19.H1      +0.001     +0.108    +0.063    -0.062
    L 5.H2      +0.092     +0.221    +0.102    -0.009
    L 4.H1      -0.056     -0.048    +0.230    -0.286
    L22.H2      +0.048     +0.053    +0.033    +0.015
    L20.H3      +0.003     +0.010    +0.028    -0.025
    L13.H3      +0.097     +0.109    +0.143    -0.046
    L11.H1      -0.032     +0.014    +0.026    -0.058
    L12.H1      -0.057     +0.056    +0.061    -0.117
    L18.H1      +0.243     +0.138    +0.003    +0.240
    L 6.H1      -0.092     +0.105    -0.058    -0.034
    L 2.H1      +0.195     +0.130    +0.074    +0.121
    L23.H1      +0.058     +0.070    +0.037    +0.021
    L 9.H1      +0.103     +0.202    -0.032    +0.135
    L14.H3      -0.064     -0.154    +0.020    -0.084
    L13.H1      +0.162     +0.092    +0.156    +0.006
    L 4.H2      +0.222     +0.252    +0.090    +0.132
    L 8.H2      -0.036     -0.021    +0.119    -0.154
    L 4.H3      -0.248     -0.206    -0.070    -0.179
    L25.H2      -0.053     -0.024    +0.002    -0.055
    L 7.H3      +0.044     +0.090    -0.094    +0.138
    L19.H2      -0.086     -0.014    +0.417    -0.503
    L21.H0      -0.007     -0.016    -0.004    -0.004
    L12.H2      -0.032     -0.167    +0.058    -0.091
    L25.H3      +0.051     +0.037    +0.012    +0.039
    L14.H0      +0.089     +0.171    +0.114    -0.026
    L 9.H0      +0.056     +0.007    -0.053    +0.108
