=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-1b-pt (dtype=bfloat16)

  loading google/gemma-3-1b-pt (dtype=bfloat16) ...
  loaded in 6.5s
  baseline (no ablation, NV pairs) ...
  sampling 104 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    L 6.H2      +0.323     +0.270    +0.101    +0.222
    L 9.H3      +0.004     -0.025    +0.110    -0.106
    L 4.H0      +0.732     +0.291    +0.032    +0.700
    L22.H3      +0.062     +0.091    +0.137    -0.075
    L 1.H0      +0.079     -0.090    +0.285    -0.206
    L17.H1      +0.141     +0.193    +0.041    +0.100
    L12.H3      +0.261     +0.421    -0.025    +0.286
    L 8.H0      -0.008     -0.025    -0.004    -0.004
    L15.H1      -0.043     +0.042    +0.053    -0.096
    L 2.H0      +0.178     +0.154    +0.158    +0.020
    L21.H2      -0.007     +0.054    +0.072    -0.079
    L 8.H1      +0.102     +0.140    +0.028    +0.073
    L11.H3      +0.026     +0.021    +0.021    +0.005
    L21.H1      -0.000     +0.010    +0.038    -0.038
    L17.H3      -0.029     -0.007    +0.017    -0.046
    L24.H2      -0.057     -0.008    -0.011    -0.046
    L22.H0      -0.017     -0.011    -0.055    +0.038
    L10.H1      -0.051     +0.019    +0.101    -0.152
    L14.H1      -0.057     -0.011    +0.019    -0.076
    L11.H2      +0.023     +0.044    +0.059    -0.036
    L22.H1      -0.030     -0.007    -0.021    -0.009
    L 7.H2      +0.086     +0.112    +0.061    +0.025
    L 5.H1      -0.013     -0.030    +0.014    -0.027
    L 0.H1      +0.063     +0.045    +0.472    -0.410
    L 3.H0      -0.020     -0.001    -0.042    +0.022
    L24.H3      +0.074     +0.031    +0.012    +0.061
    L 3.H1      -0.006     +0.153    +0.025    -0.032
    L 6.H3      +0.269     +0.233    +0.074    +0.195
    L23.H2      -0.025     -0.017    +0.000    -0.026
    L18.H2      +0.015     +0.080    +0.053    -0.038
    L 2.H3      +0.157     -0.591    +0.089    +0.068
    L16.H3      +0.099     +0.164    +0.091    +0.008
    L14.H2      +0.184     +0.028    -0.033    +0.217
    L18.H0      -0.009     +0.049    +0.092    -0.100
    L25.H1      -0.014     +0.024    -0.028    +0.014
    L13.H0      -0.021     -0.048    -0.046    +0.024
    L20.H1      +0.036     +0.005    +0.046    -0.010
    L10.H2      +0.073     +0.154    +0.054    +0.019
    L 8.H3      -0.002     +0.017    +0.045    -0.047
    L20.H0      +0.025     +0.018    -0.013    +0.038
    L24.H1      +0.088     +0.060    +0.098    -0.011
    L 0.H0      +0.229     +0.180    +0.217    +0.012
    L15.H3      +0.123     +0.100    +0.018    +0.104
    L 3.H3      +0.176     -0.169    +0.048    +0.128
    L21.H3      +0.028     +0.024    -0.015    +0.043
    L15.H2      +0.031     +0.051    +0.016    +0.016
    L16.H1      +0.054     -0.043    +0.108    -0.054
    L11.H0      -0.076     +0.110    -0.058    -0.018

  Null percentiles (single head):
    vc_gps_inflation      p5=-0.065  p50=+0.024  p95=+0.235  p99=+0.321  |.|max=0.732
    vc_delta_inflation    p5=-0.112  p50=+0.036  p95=+0.231  p99=+0.300  |.|max=0.591
    selectivity           p5=-0.154  p50=-0.010  p95=+0.204  p99=+0.285  |.|max=0.700

  Selection-corrected: null max(vc_gps_inflation) over K random heads:
    K=  4  p50=+0.150  p90=+0.269  p95=+0.323  p99=+0.732
    K=  8  p50=+0.195  p90=+0.323  p95=+0.732  p99=+0.732

Saved → /app/gemma3_1b/logs/14_null_distribution_vc.json

Elapsed: 125.8s
