=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-12b-pt (dtype=bfloat16)

  loading google/gemma-3-12b-pt (dtype=bfloat16) ...
  loaded in 23.6s
  baseline (no ablation, NV pairs) ...
  sampling 300 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    --------------------------------------------------
    L22.H15     -0.045     -0.061    -0.004    -0.041
    L10.H5      -0.009     +0.029    +0.014    -0.023
    L26.H12     +0.015     +0.011    +0.021    -0.005
    L36.H13     +0.003     -0.002    +0.001    +0.002
    L 7.H11     -0.035     -0.013    -0.002    -0.034
    L42.H3      +0.035     +0.026    +0.023    +0.013
    L21.H15     +0.006     -0.010    +0.012    -0.006
    L14.H4      +0.001     -0.008    +0.018    -0.017
    L 5.H13     +0.031     +0.039    -0.005    +0.036
    L40.H3      +0.011     +0.010    +0.011    -0.000
    L37.H5      +0.008     +0.022    +0.005    +0.003
    L35.H7      +0.003     +0.002    +0.001    +0.002
    L11.H7      -0.003     -0.019    -0.025    +0.022
    L24.H6      -0.021     +0.004    +0.021    -0.042
    L38.H5      +0.012     +0.000    -0.009    +0.021
    L36.H4      +0.010     -0.000    -0.013    +0.023
    L30.H2      +0.005     +0.018    +0.021    -0.016
    L28.H14     +0.032     -0.002    -0.009    +0.041
    L 9.H3      +0.015     +0.029    -0.003    +0.018
    L11.H3      -0.017     -0.008    +0.018    -0.036
    L18.H6      +0.004     -0.047    -0.014    +0.018
    L28.H1      +0.038     +0.028    +0.016    +0.022
    L 8.H4      -0.008     -0.003    -0.001    -0.007
    L12.H5      +0.037     +0.023    +0.003    +0.034
    L26.H3      +0.183     +0.101    +0.023    +0.160
    L 9.H15     -0.030     -0.024    -0.017    -0.013
    L45.H14     -0.002     +0.012    +0.016    -0.018
    L25.H4      +0.031     -0.013    -0.046    +0.077
    L40.H8      +0.009     +0.003    +0.021    -0.011
    L28.H8      +0.006     +0.028    +0.012    -0.007
    L 7.H0      +0.061     +0.091    -0.020    +0.081
    L 6.H0      -0.036     -0.066    -0.008    -0.028
    L39.H4      +0.018     +0.006    -0.000    +0.018
    L22.H14     +0.013     +0.035    +0.010    +0.003
    L15.H1      +0.018     +0.013    -0.003    +0.021
    L41.H3      -0.011     -0.007    -0.005    -0.006
    L44.H12     +0.016     +0.005    +0.002    +0.014
    L13.H2      -0.069     -0.036    -0.013    -0.056
    L 6.H11     +0.009     -0.012    +0.005    +0.004
    L36.H12     +0.004     -0.023    +0.020    -0.016
    L37.H10     +0.008     +0.026    -0.005    +0.013
    L15.H11     +0.030     +0.002    +0.029    +0.001
    L39.H3      +0.005     -0.018    +0.009    -0.003
    L 7.H6      +0.003     -0.003    +0.009    -0.006
    L44.H6      -0.003     -0.001    -0.006    +0.002
    L44.H15     -0.042     -0.044    -0.017    -0.024
    L 2.H9      -0.004     -0.013    -0.008    +0.004
    L29.H13     +0.031     +0.028    -0.002    +0.033
    L38.H1      -0.011     +0.006    +0.000    -0.011
    L 6.H10     +0.024     +0.031    -0.014    +0.038
    L46.H0      -0.050     -0.030    -0.010    -0.040
    L11.H14     -0.009     -0.009    -0.014    +0.004
    L38.H11     +0.027     +0.008    -0.012    +0.039
    L 1.H2      -0.019     -0.025    +0.006    -0.025
    L16.H15     -0.022     -0.056    +0.004    -0.026
    L16.H2      +0.002     +0.014    +0.016    -0.014
    L40.H13     +0.014     +0.027    +0.004    +0.010
    L46.H2      +0.018     +0.031    -0.009    +0.027
    L18.H10     -0.002     -0.019    -0.000    -0.001
    L47.H13     -0.018     +0.045    +0.018    -0.035
    L40.H1      +0.015     +0.017    +0.002    +0.014
    L30.H0      +0.019     +0.018    +0.000    +0.018
    L 8.H9      +0.002     +0.017    -0.005    +0.006
    L20.H8      +0.018     +0.025    -0.002    +0.020
    L39.H7      -0.009     +0.001    +0.020    -0.028
    L21.H8      +0.017     -0.005    +0.016    +0.001
    L13.H13     -0.007     -0.020    -0.015    +0.008
    L45.H5      -0.000     +0.017    -0.002    +0.002
    L37.H3      -0.009     -0.022    -0.011    +0.002
    L 3.H7      -0.029     -0.044    -0.004    -0.025
    L29.H5      +0.006     +0.012    +0.017    -0.011
    L42.H6      -0.008     +0.004    +0.017    -0.025
    L46.H10     +0.053     +0.047    +0.004    +0.049
    L20.H1      +0.010     +0.036    -0.019    +0.029
    L35.H3      +0.005     -0.025    +0.000    +0.004
    L36.H10     +0.001     -0.006    +0.001    +0.000
    L45.H15     -0.005     -0.002    -0.001    -0.003
    L34.H6      +0.002     -0.023    -0.003    +0.004
    L11.H12     -0.006     -0.005    +0.004    -0.010
    L46.H9      +0.023     +0.013    +0.017    +0.006
    L11.H5      -0.021     -0.045    +0.012    -0.034
    L18.H15     +0.005     +0.012    +0.015    -0.009
    L24.H7      -0.002     +0.001    +0.008    -0.010
    L32.H3      +0.010     +0.003    -0.040    +0.050
    L17.H12     -0.019     -0.050    -0.019    -0.000
    L13.H12     +0.023     +0.032    -0.015    +0.038
    L29.H15     -0.000     -0.004    +0.019    -0.019
    L32.H2      +0.028     +0.024    +0.006    +0.022
    L15.H3      +0.036     +0.036    -0.009    +0.044
    L19.H7      -0.017     -0.001    -0.020    +0.003
    L 6.H7      -0.009     -0.022    -0.009    -0.000
    L37.H6      +0.005     -0.003    +0.008    -0.003
    L30.H6      +0.027     +0.027    +0.015    +0.013
    L42.H7      -0.011     +0.008    +0.016    -0.027
    L46.H7      +0.003     -0.019    -0.021    +0.024
    L43.H2      +0.047     +0.007    -0.000    +0.047
    L43.H4      +0.005     +0.019    +0.017    -0.012
    L32.H12     +0.010     +0.014    -0.013    +0.023
    L14.H13     -0.009     -0.012    -0.005    -0.004
    L23.H5      +0.014     -0.009    +0.009    +0.005
    L22.H13     -0.001     -0.042    -0.036    +0.035
    L24.H15     -0.010     -0.030    -0.042    +0.032
    L36.H15     +0.028     +0.027    +0.004    +0.024
    L46.H5      -0.056     -0.051    +0.003    -0.060
    L44.H5      -0.015     +0.005    +0.015    -0.030
    L18.H12     +0.031     +0.036    -0.022    +0.053
    L 1.H4      -0.022     -0.037    +0.012    -0.034
    L30.H8      +0.035     +0.012    +0.003    +0.032
    L26.H8      -0.024     -0.001    +0.022    -0.045
    L21.H12     +0.004     +0.025    +0.013    -0.009
    L28.H2      +0.063     +0.032    -0.001    +0.064
    L33.H6      +0.017     +0.058    -0.006    +0.023
    L21.H5      -0.019     -0.037    +0.035    -0.054
    L17.H4      +0.012     +0.017    +0.008    +0.004
    L35.H6      -0.008     -0.007    +0.011    -0.020
    L23.H0      +0.011     -0.003    -0.004    +0.015
    L42.H15     -0.006     +0.016    +0.004    -0.010
    L43.H0      -0.013     -0.022    +0.010    -0.022
    L31.H0      +0.048     +0.008    +0.011    +0.036
    L32.H13     +0.014     -0.029    +0.018    -0.004
    L44.H1      +0.045     +0.020    +0.002    +0.043
    L26.H0      -0.005     +0.003    -0.034    +0.029
    L 0.H9      -0.034     -0.026    +0.012    -0.046
    L15.H4      -0.015     -0.030    -0.007    -0.008
    L20.H5      +0.022     -0.041    -0.003    +0.026
    L15.H12     +0.023     +0.022    -0.015    +0.039
    L 8.H3      -0.023     -0.053    +0.020    -0.043
    L31.H11     -0.009     -0.016    +0.010    -0.019
    L12.H10     +0.024     +0.014    +0.001    +0.023
