=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-12b-pt (dtype=bfloat16)

  loading google/gemma-3-12b-pt (dtype=bfloat16) ...
  loaded in 23.6s
  baseline (no ablation, NV pairs) ...
  sampling 300 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    L43.H13     +0.024     +0.023    +0.013    +0.011
    L 0.H7      -0.013     +0.005    +0.007    -0.021
    L17.H3      +0.004     -0.038    +0.011    -0.007
    L 4.H0      -0.017     -0.015    +0.020    -0.037
    L28.H3      +0.002     -0.005    -0.032    +0.033
    L10.H1      -0.025     -0.044    +0.011    -0.036
    L47.H10     +0.014     -0.019    -0.001    +0.015
    L20.H2      -0.024     -0.014    +0.009    -0.034
    L26.H4      -0.003     -0.019    +0.048    -0.051
    L33.H14     +0.006     +0.011    -0.004    +0.009
    L38.H3      +0.004     -0.029    -0.010    +0.013
    L22.H10     -0.003     -0.006    +0.004    -0.007
    L22.H11     +0.009     +0.002    +0.003    +0.005
    L40.H11     +0.013     -0.039    +0.002    +0.011
    L36.H14     +0.004     -0.003    +0.021    -0.017
    L18.H5      +0.019     +0.011    +0.027    -0.008
    L 1.H1      -0.016     +0.003    +0.000    -0.017
    L 6.H1      -0.048     -0.050    +0.024    -0.072
    L13.H3      +0.006     -0.011    -0.004    +0.011
    L39.H11     +0.017     +0.024    +0.013    +0.004
    L39.H12     -0.016     -0.021    -0.008    -0.008
    L 1.H13     -0.001     +0.030    +0.014    -0.015
    L33.H2      +0.047     +0.017    -0.009    +0.056
    L20.H15     -0.055     +0.003    -0.023    -0.032
    L24.H14     -0.013     -0.025    +0.005    -0.018
    L45.H7      +0.010     +0.012    +0.018    -0.009
    L 0.H15     -0.012     +0.006    -0.001    -0.011
    L10.H6      -0.008     -0.017    +0.002    -0.011
    L40.H9      +0.019     +0.008    +0.016    +0.003
    L42.H9      +0.019     +0.009    +0.019    -0.000
    L41.H8      -0.016     +0.002    +0.009    -0.025
    L41.H1      +0.010     +0.005    +0.001    +0.009
    L18.H13     -0.023     +0.030    -0.004    -0.019
    L15.H9      -0.056     -0.054    -0.009    -0.047
    L41.H4      +0.014     +0.012    +0.021    -0.006
    L11.H9      +0.007     -0.022    +0.019    -0.012
    L34.H2      +0.012     -0.014    +0.005    +0.008
    L31.H4      -0.093     -0.130    +0.023    -0.116
    L 4.H11     -0.006     +0.007    -0.016    +0.010
    L29.H4      +0.011     -0.002    +0.015    -0.003
    L26.H5      +0.060     +0.084    +0.025    +0.035
    L25.H8      -0.037     +0.007    +0.013    -0.050
    L19.H10     +0.011     +0.019    -0.007    +0.018
    L39.H14     +0.015     +0.006    -0.005    +0.020
    L 1.H12     +0.007     -0.014    -0.008    +0.015
    L31.H12     -0.004     -0.031    +0.008    -0.012
    L 8.H10     -0.039     -0.040    -0.014    -0.025
    L12.H7      -0.053     -0.046    -0.014    -0.039
    L10.H0      +0.000     -0.010    +0.020    -0.020
    L20.H3      +0.046     -0.029    +0.016    +0.031
    L25.H7      -0.075     -0.157    -0.054    -0.021
    L 9.H2      -0.008     +0.016    -0.029    +0.022
    L31.H5      +0.167     +0.119    -0.018    +0.185
    L23.H1      -0.006     +0.001    +0.003    -0.009
    L36.H2      -0.001     +0.003    +0.002    -0.003
    L 5.H11     -0.032     -0.038    -0.002    -0.030
    L33.H0      -0.005     -0.046    -0.003    -0.002
    L 3.H15     -0.017     -0.010    +0.003    -0.020
    L33.H11     +0.024     -0.020    +0.002    +0.022
    L41.H7      -0.012     -0.038    +0.042    -0.054
    L45.H13     +0.014     -0.008    +0.016    -0.002
    L19.H3      +0.012     +0.019    +0.006    +0.006
    L39.H15     -0.003     -0.006    +0.029    -0.032
    L14.H12     -0.007     +0.000    +0.019    -0.026
    L42.H4      +0.012     +0.027    -0.017    +0.029
    L35.H13     +0.003     -0.010    +0.017    -0.014
    L 8.H6      +0.011     -0.016    -0.014    +0.025
    L22.H0      +0.014     +0.022    -0.002    +0.016
    L 4.H10     -0.012     -0.030    +0.012    -0.023
    L31.H3      -0.020     +0.002    -0.008    -0.012
    L38.H6      -0.009     +0.007    +0.012    -0.021
    L32.H14     -0.005     +0.007    -0.017    +0.011
    L14.H7      +0.003     +0.029    +0.016    -0.014
    L17.H8      +0.008     +0.004    -0.002    +0.010
    L10.H14     -0.075     -0.083    +0.011    -0.086
    L12.H1      -0.035     -0.018    +0.037    -0.072
    L34.H13     +0.018     -0.018    +0.023    -0.005
    L36.H1      -0.005     -0.019    -0.002    -0.004
    L14.H3      +0.001     -0.018    -0.002    +0.004
    L33.H5      +0.019     -0.011    +0.003    +0.016
    L40.H6      +0.023     +0.021    +0.003    +0.019
    L40.H5      -0.005     -0.000    +0.011    -0.016
    L34.H15     +0.008     +0.006    +0.014    -0.006
    L42.H12     +0.012     -0.016    -0.003    +0.016
    L25.H10     +0.022     +0.001    -0.006    +0.028
    L41.H12     +0.005     +0.013    +0.017    -0.012
    L 3.H3      +0.084     +0.119    -0.001    +0.085
    L 7.H3      -0.013     -0.019    +0.000    -0.013
    L27.H13     +0.011     +0.017    +0.006    +0.005
    L16.H14     +0.018     -0.030    -0.009    +0.027
    L16.H8      +0.011     -0.042    -0.014    +0.025
    L22.H9      -0.009     -0.020    +0.018    -0.027
    L28.H0      +0.001     +0.021    +0.032    -0.031
    L 0.H2      +0.047     +0.045    +0.013    +0.033
    L43.H8      +0.015     +0.027    +0.006    +0.009
    L 9.H11     -0.010     -0.015    -0.018    +0.008
    L22.H8      +0.008     +0.002    +0.016    -0.008
    L40.H12     -0.002     -0.006    +0.003    -0.004
    L41.H14     +0.007     +0.024    +0.012    -0.005
    L35.H1      -0.009     -0.027    +0.020    -0.029
    L 2.H14     -0.018     -0.038    +0.006    -0.024
    L19.H2      +0.050     +0.007    -0.018    +0.068
    L 6.H8      -0.015     +0.004    -0.010    -0.005
    L10.H3      +0.015     +0.016    -0.012    +0.026
    L38.H9      +0.010     +0.005    +0.007    +0.002
    L14.H9      -0.001     -0.032    -0.000    -0.001
    L46.H13     +0.023     +0.012    -0.012    +0.035
    L35.H2      +0.028     +0.003    +0.008    +0.020
    L14.H15     -0.003     -0.022    +0.021    -0.023
    L29.H3      +0.005     +0.008    +0.017    -0.012
    L17.H0      +0.009     +0.005    -0.006    +0.015
    L40.H15     -0.014     -0.009    +0.008    -0.022
    L37.H13     +0.010     -0.014    +0.018    -0.007
    L33.H15     -0.002     -0.038    -0.015    +0.014
    L31.H6      +0.029     +0.017    -0.016    +0.045
    L12.H12     +0.006     -0.001    +0.029    -0.023
    L11.H6      +0.014     +0.082    +0.026    -0.013
    L27.H15     -0.013     -0.036    +0.004    -0.016
    L18.H14     +0.010     -0.009    +0.019    -0.008
    L27.H12     -0.031     -0.036    +0.027    -0.059
    L19.H4      +0.001     +0.007    +0.007    -0.006
    L34.H5      +0.001     -0.007    +0.006    -0.005
    L15.H7      +0.028     -0.007    -0.002    +0.030
    L 7.H7      -0.026     +0.032    +0.053    -0.079
    L 1.H14     -0.001     +0.018    +0.014    -0.016
    L 4.H7      -0.037     -0.042    +0.015    -0.052
    L 4.H2      +0.006     +0.007    +0.001    +0.005
    L 6.H3      -0.002     +0.006    +0.008    -0.009
    L23.H10     -0.020     -0.017    +0.008    -0.028
    L13.H10     +0.002     +0.010    -0.016    +0.018
    L27.H6      +0.036     +0.005    -0.005    +0.041
    L19.H0      +0.002     -0.000    -0.012    +0.014
    L30.H3      +0.046     +0.004    +0.013    +0.033
    L 3.H13     -0.001     +0.001    -0.004    +0.003
    L26.H2      +0.003     -0.015    -0.016    +0.019
    L 9.H4      +0.003     -0.012    +0.037    -0.034
    L17.H2      -0.003     +0.009    -0.004    +0.001
    L34.H12     +0.049     +0.034    +0.003    +0.046
    L44.H9      +0.003     +0.016    -0.013    +0.015
    L24.H9      -0.084     -0.119    +0.080    -0.164
    L11.H4      +0.003     +0.002    +0.003    +0.001
    L 1.H11     -0.012     +0.004    +0.004    -0.015
    L21.H2      -0.013     -0.042    +0.003    -0.016
    L 5.H7      -0.017     -0.006    +0.005    -0.022
    L11.H13     -0.017     -0.006    +0.006    -0.022
    L14.H1      +0.023     +0.036    -0.002    +0.026
    L 1.H8      +0.003     -0.002    -0.006    +0.009
    L 4.H9      -0.045     -0.033    +0.004    -0.050
    L35.H4      -0.014     -0.012    -0.004    -0.010
    L28.H15     +0.009     -0.013    +0.020    -0.011
    L40.H2      +0.013     +0.021    +0.008    +0.005
    L 8.H14     -0.021     -0.050    -0.000    -0.021
    L12.H3      +0.015     +0.039    -0.021    +0.036
    L44.H3      -0.011     -0.010    +0.013    -0.024
    L13.H8      -0.007     -0.011    +0.023    -0.030
    L30.H4      -0.016     -0.029    -0.022    +0.007
    L 7.H1      +0.042     +0.064    +0.006    +0.036
    L38.H14     -0.026     -0.052    -0.016    -0.010
    L15.H2      -0.008     -0.016    -0.002    -0.006
    L37.H14     +0.007     +0.005    -0.005    +0.013
    L31.H13     +0.004     -0.006    +0.004    -0.000
    L41.H0      +0.007     +0.013    +0.024    -0.016
    L32.H11     -0.041     -0.015    +0.020    -0.061
    L24.H0      -0.030     -0.054    -0.020    -0.010
    L30.H15     +0.026     +0.019    -0.015    +0.041
    L32.H4      +0.009     +0.010    +0.005    +0.005
    L 7.H15     +0.013     +0.015    -0.010    +0.023
    L 4.H4      +0.031     +0.021    -0.010    +0.041
    L24.H1      +0.076     +0.060    +0.056    +0.019
    L26.H14     +0.005     -0.006    +0.012    -0.006
    L45.H10     +0.000     +0.010    +0.015    -0.015

  Null percentiles (single head):
    vc_gps_inflation      p5=-0.039  p50=+0.003  p95=+0.046  p99=+0.076  |.|max=0.183
    vc_delta_inflation    p5=-0.047  p50=+0.000  p95=+0.036  p99=+0.091  |.|max=0.157
    selectivity           p5=-0.050  p50=-0.002  p95=+0.043  p99=+0.081  |.|max=0.185

  Selection-corrected: null max(vc_gps_inflation) over K random heads:
    K= 16  p50=+0.047  p90=+0.167  p95=+0.183  p99=+0.183
    K= 32  p50=+0.060  p90=+0.167  p95=+0.183  p99=+0.183

Saved → /app/gemma3_12b/logs/14_null_distribution_vc.json

Elapsed: 654.9s
