=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-27b-pt (dtype=bfloat16)

  loading google/gemma-3-27b-pt (dtype=bfloat16) ...
  loaded in 42.4s
  baseline (no ablation, NV pairs) ...
  sampling 300 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    L29.H10     -0.006     -0.004    -0.009    +0.003
    L40.H13     -0.009     -0.026    -0.019    +0.010
    L50.H31     -0.028     -0.042    -0.006    -0.022
    L47.H20     -0.012     -0.037    -0.012    -0.000
    L34.H16     +0.011     -0.026    -0.016    +0.027
    L55.H29     -0.037     -0.070    -0.008    -0.029
    L 5.H4      -0.018     -0.006    +0.006    -0.024
    L10.H30     -0.035     -0.099    +0.047    -0.082
    L38.H8      +0.002     -0.028    -0.006    +0.008
    L27.H15     -0.030     -0.008    -0.024    -0.006
    L25.H18     +0.002     -0.027    +0.000    +0.002
    L37.H0      -0.025     -0.015    -0.009    -0.015
    L43.H0      -0.016     -0.034    +0.001    -0.017
    L 0.H6      +0.024     -0.014    +0.010    +0.014
    L 8.H31     +0.020     +0.012    +0.001    +0.019
    L16.H18     -0.019     -0.050    -0.012    -0.008
    L37.H28     +0.002     -0.005    +0.019    -0.017
    L52.H29     +0.010     +0.009    -0.005    +0.015
    L21.H9      -0.035     -0.058    -0.008    -0.027
    L29.H30     +0.026     +0.000    -0.009    +0.035
    L 4.H19     -0.015     -0.029    +0.005    -0.020
    L34.H11     +0.035     +0.058    -0.021    +0.056
    L 9.H24     -0.001     -0.036    -0.008    +0.007
    L16.H2      -0.007     +0.001    -0.001    -0.006
    L52.H22     +0.001     -0.020    -0.005    +0.006
    L20.H28     +0.002     -0.010    -0.005    +0.007
    L30.H7      +0.008     -0.029    +0.001    +0.007
    L 7.H10     -0.033     -0.077    +0.013    -0.045
    L25.H10     -0.016     -0.046    -0.014    -0.002
    L42.H27     -0.022     -0.048    -0.008    -0.014
    L30.H14     +0.040     +0.019    -0.007    +0.047
    L58.H7      -0.007     -0.002    +0.007    -0.014
    L57.H28     +0.005     +0.001    -0.015    +0.021
    L51.H4      -0.006     -0.015    -0.025    +0.019
    L44.H9      -0.002     -0.005    -0.005    +0.003
    L22.H10     -0.001     +0.005    -0.032    +0.032
    L17.H28     -0.012     -0.027    +0.006    -0.018
    L46.H2      +0.011     +0.031    -0.010    +0.020
    L31.H16     -0.005     -0.019    -0.005    +0.000
    L47.H28     -0.017     -0.014    -0.018    +0.001
    L31.H0      -0.007     -0.024    -0.012    +0.004
    L22.H28     +0.036     +0.017    +0.002    +0.033
    L26.H5      +0.050     +0.078    +0.000    +0.050
    L 9.H25     -0.063     -0.068    +0.019    -0.081
    L 2.H15     -0.020     -0.011    +0.010    -0.030
    L 7.H27     +0.006     -0.025    -0.013    +0.020
    L 6.H28     +0.007     +0.002    +0.006    +0.001
    L 9.H23     -0.023     -0.033    -0.018    -0.005
    L32.H6      -0.043     -0.068    +0.002    -0.045
    L21.H3      -0.006     -0.007    -0.033    +0.027
    L47.H19     +0.009     +0.019    -0.012    +0.021
    L32.H2      +0.015     -0.005    -0.001    +0.015
    L51.H1      -0.000     -0.008    -0.021    +0.020
    L 6.H14     -0.016     -0.015    -0.003    -0.013
    L37.H10     +0.013     -0.027    -0.005    +0.018
    L12.H30     -0.011     -0.027    -0.000    -0.011
    L27.H24     -0.023     -0.033    -0.007    -0.016
    L37.H3      -0.015     -0.013    -0.007    -0.007
    L40.H29     +0.000     -0.005    -0.007    +0.007
    L33.H20     -0.015     -0.018    -0.008    -0.007
    L18.H20     -0.022     -0.025    +0.004    -0.026
    L 2.H24     -0.022     -0.035    +0.002    -0.024
    L29.H28     +0.007     -0.013    -0.024    +0.031
    L 8.H15     -0.022     -0.022    +0.004    -0.026
    L21.H5      -0.007     -0.029    +0.009    -0.016
    L18.H19     -0.022     -0.066    -0.005    -0.018
    L 2.H16     -0.015     -0.044    -0.027    +0.012
    L 6.H2      -0.039     -0.061    -0.003    -0.037
    L13.H21     +0.012     +0.001    -0.001    +0.013
    L37.H21     +0.021     +0.011    -0.012    +0.033
    L54.H12     -0.016     -0.068    +0.006    -0.023
    L12.H25     -0.009     -0.034    -0.012    +0.003
    L16.H26     -0.003     -0.020    -0.016    +0.013
    L57.H10     -0.024     -0.028    +0.001    -0.025
    L18.H22     -0.006     -0.006    -0.020    +0.013
    L42.H24     -0.014     -0.024    +0.000    -0.014
    L 9.H9      +0.007     +0.007    -0.019    +0.026
    L54.H7      -0.017     -0.034    -0.020    +0.003
    L23.H23     +0.015     +0.016    -0.020    +0.035
    L39.H17     -0.032     -0.024    -0.009    -0.023
    L46.H4      -0.033     -0.067    +0.007    -0.040
    L41.H7      -0.008     -0.038    -0.013    +0.005
    L44.H24     +0.017     +0.018    -0.021    +0.038
    L41.H17     -0.000     -0.010    -0.004    +0.004
    L43.H7      -0.021     -0.020    -0.001    -0.020
    L54.H2      -0.025     -0.013    -0.019    -0.006
    L14.H0      +0.012     -0.004    +0.005    +0.007
    L 5.H25     +0.079     +0.068    -0.002    +0.081
    L38.H16     -0.034     -0.048    +0.014    -0.047
    L58.H13     -0.014     -0.020    -0.011    -0.003
    L 3.H28     +0.002     -0.012    -0.010    +0.012

  Null percentiles (single head):
    vc_gps_inflation      p5=-0.036  p50=-0.008  p95=+0.033  p99=+0.109  |.|max=0.294
    vc_delta_inflation    p5=-0.059  p50=-0.021  p95=+0.030  p99=+0.115  |.|max=0.414
    selectivity           p5=-0.039  p50=-0.002  p95=+0.039  p99=+0.111  |.|max=0.287

  Selection-corrected: null max(vc_gps_inflation) over K random heads:
    K= 32  p50=+0.050  p90=+0.225  p95=+0.294  p99=+0.294
    K= 64  p50=+0.108  p90=+0.294  p95=+0.294  p99=+0.294

Saved → /app/gemma3_27b/logs/14_null_distribution_vc.json

Elapsed: 838.1s
