=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-27b-pt (dtype=bfloat16)

  loading google/gemma-3-27b-pt (dtype=bfloat16) ...
  loaded in 42.4s
  baseline (no ablation, NV pairs) ...
  sampling 300 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    --------------------------------------------------
    L30.H25     -0.021     -0.003    +0.018    -0.039
    L16.H23     -0.006     -0.053    +0.008    -0.014
    L39.H16     -0.031     -0.035    -0.017    -0.014
    L48.H20     -0.033     -0.039    -0.023    -0.011
    L10.H14     +0.294     +0.414    +0.007    +0.287
    L15.H22     -0.023     -0.054    +0.009    -0.033
    L34.H7      +0.006     -0.026    +0.016    -0.010
    L23.H1      -0.020     -0.024    -0.012    -0.008
    L10.H3      -0.005     +0.008    +0.000    -0.005
    L40.H19     -0.021     -0.010    +0.005    -0.026
    L22.H14     +0.037     +0.015    +0.000    +0.036
    L55.H23     -0.007     -0.018    -0.003    -0.004
    L20.H5      -0.023     -0.044    -0.001    -0.022
    L35.H29     -0.018     -0.019    -0.017    -0.001
    L52.H18     -0.023     -0.042    -0.003    -0.020
    L48.H6      -0.006     -0.005    -0.004    -0.002
    L50.H16     -0.012     -0.043    -0.024    +0.012
    L51.H3      -0.031     -0.056    -0.005    -0.026
    L13.H15     -0.016     -0.043    -0.004    -0.013
    L15.H28     -0.009     -0.013    +0.009    -0.018
    L29.H11     -0.015     -0.023    +0.011    -0.026
    L58.H21     -0.023     -0.037    -0.003    -0.020
    L14.H17     -0.023     -0.036    +0.008    -0.031
    L16.H10     -0.035     -0.065    -0.010    -0.025
    L58.H24     +0.019     +0.003    -0.008    +0.027
    L16.H11     +0.041     +0.054    +0.020    +0.021
    L30.H16     +0.002     -0.003    -0.037    +0.039
    L38.H28     -0.021     -0.010    +0.002    -0.023
    L56.H5      -0.012     -0.038    -0.020    +0.008
    L43.H4      +0.003     +0.000    -0.005    +0.008
    L 9.H2      -0.001     -0.041    -0.022    +0.021
    L61.H19     +0.003     -0.025    -0.001    +0.004
    L57.H16     -0.011     +0.003    -0.022    +0.011
    L35.H25     +0.027     +0.002    +0.000    +0.027
    L24.H22     +0.016     -0.010    -0.000    +0.016
    L55.H11     +0.008     +0.008    -0.005    +0.013
    L41.H0      -0.046     -0.042    +0.009    -0.055
    L22.H19     -0.005     -0.048    -0.015    +0.010
    L11.H29     +0.010     -0.012    +0.008    +0.002
    L 7.H5      -0.027     -0.053    +0.004    -0.031
    L45.H16     -0.008     -0.021    -0.019    +0.011
    L57.H21     +0.005     +0.004    -0.011    +0.016
    L55.H1      -0.015     -0.025    -0.012    -0.002
    L11.H17     -0.019     -0.053    -0.019    +0.000
    L61.H25     +0.019     +0.026    -0.015    +0.035
    L29.H7      -0.026     -0.035    +0.017    -0.043
    L 4.H3      -0.025     -0.045    +0.005    -0.030
    L39.H21     -0.013     -0.024    -0.020    +0.007
    L 7.H0      -0.012     -0.011    +0.003    -0.015
    L 8.H26     -0.017     -0.044    -0.006    -0.011
    L59.H28     +0.034     +0.006    -0.003    +0.038
    L20.H23     +0.006     +0.023    +0.005    +0.000
    L37.H25     -0.008     -0.005    -0.035    +0.027
    L55.H0      -0.025     -0.043    -0.003    -0.022
    L28.H26     -0.017     -0.009    -0.013    -0.004
    L23.H24     -0.011     -0.016    -0.003    -0.007
    L57.H8      +0.010     +0.033    -0.009    +0.019
    L52.H19     -0.006     -0.016    -0.015    +0.009
    L54.H25     -0.027     -0.084    -0.031    +0.004
    L49.H18     -0.012     -0.022    -0.034    +0.022
    L54.H30     +0.006     -0.023    +0.002    +0.004
    L39.H10     -0.052     -0.034    -0.007    -0.045
    L14.H28     -0.023     -0.045    -0.005    -0.018
    L33.H13     -0.032     -0.033    +0.002    -0.034
    L54.H21     -0.013     -0.012    -0.011    -0.002
    L31.H4      -0.020     -0.017    -0.002    -0.019
    L24.H18     -0.017     -0.041    -0.009    -0.008
    L32.H20     -0.031     -0.027    -0.022    -0.009
    L 0.H23     -0.002     -0.050    -0.014    +0.011
    L 5.H23     -0.028     -0.032    +0.010    -0.038
    L56.H9      -0.003     -0.016    +0.008    -0.011
    L55.H10     -0.006     -0.045    -0.021    +0.015
    L60.H11     -0.013     -0.040    -0.002    -0.011
    L32.H30     -0.040     -0.055    -0.009    -0.031
    L47.H10     -0.002     -0.016    -0.031    +0.029
    L37.H1      +0.011     +0.010    -0.016    +0.026
    L59.H13     -0.002     +0.002    -0.004    +0.002
    L18.H3      -0.021     -0.022    -0.006    -0.015
    L16.H28     -0.008     -0.017    -0.024    +0.016
    L13.H22     +0.045     -0.000    -0.013    +0.058
    L18.H0      -0.005     -0.029    +0.002    -0.007
    L28.H3      -0.040     -0.039    +0.014    -0.054
    L33.H6      -0.018     -0.059    -0.006    -0.011
    L57.H13     -0.030     -0.023    +0.007    -0.037
    L26.H10     -0.016     -0.017    -0.016    +0.000
    L24.H0      -0.025     -0.018    +0.003    -0.028
    L51.H5      -0.025     -0.048    +0.008    -0.033
    L45.H1      +0.003     -0.008    +0.005    -0.002
    L21.H12     +0.004     -0.023    -0.001    +0.006
    L34.H0      +0.017     +0.020    -0.015    +0.032
    L 9.H17     -0.012     -0.047    -0.001    -0.011
    L53.H20     -0.018     -0.053    +0.000    -0.018
    L54.H3      -0.028     -0.051    -0.005    -0.022
    L11.H30     -0.003     -0.012    -0.005    +0.002
    L51.H30     -0.036     -0.048    -0.016    -0.020
    L43.H6      -0.010     -0.036    -0.022    +0.012
    L41.H28     +0.000     -0.011    -0.002    +0.002
    L59.H30     +0.003     -0.008    -0.005    +0.007
    L21.H6      -0.032     -0.039    -0.008    -0.024
    L38.H14     -0.008     -0.055    +0.001    -0.009
    L29.H25     -0.007     -0.017    +0.007    -0.015
    L44.H11     -0.006     -0.015    -0.008    +0.002
    L18.H6      -0.004     -0.014    +0.005    -0.009
    L 0.H19     -0.012     -0.050    -0.004    -0.008
    L36.H17     -0.029     -0.094    -0.004    -0.025
    L25.H8      -0.005     -0.018    +0.003    -0.007
    L 2.H9      +0.008     -0.006    -0.017    +0.025
    L56.H3      +0.007     +0.009    -0.010    +0.016
    L45.H3      +0.007     +0.030    -0.010    +0.017
    L31.H15     +0.007     -0.011    +0.000    +0.007
    L44.H22     +0.007     -0.035    -0.023    +0.029
    L59.H31     -0.005     -0.016    +0.005    -0.010
    L56.H25     +0.010     -0.006    +0.010    -0.000
    L22.H23     -0.016     -0.029    -0.008    -0.008
    L21.H21     -0.012     -0.021    -0.015    +0.003
    L32.H19     -0.036     -0.030    -0.018    -0.018
    L29.H16     +0.005     -0.004    -0.008    +0.013
    L21.H27     -0.078     -0.105    +0.014    -0.092
    L46.H9      +0.000     -0.000    +0.003    -0.002
    L 6.H27     -0.000     -0.044    +0.009    -0.009
    L25.H27     +0.023     +0.044    -0.020    +0.043
    L38.H20     +0.010     -0.014    -0.014    +0.024
    L 1.H1      +0.001     -0.021    -0.009    +0.010
    L23.H11     -0.029     -0.028    +0.005    -0.034
    L32.H16     -0.034     -0.057    -0.011    -0.023
    L23.H4      -0.024     -0.047    +0.014    -0.038
    L14.H19     -0.004     -0.018    -0.035    +0.031
    L54.H0      +0.009     -0.006    +0.023    -0.015
    L21.H16     +0.002     -0.021    +0.010    -0.008
    L58.H14     -0.014     -0.022    -0.004    -0.009
    L 0.H24     +0.014     -0.010    +0.010    +0.003
    L29.H13     +0.033     +0.030    +0.006    +0.027
    L 6.H17     -0.000     -0.023    +0.014    -0.014
    L46.H30     -0.003     -0.010    -0.006    +0.003
    L13.H1      -0.031     -0.028    -0.006    -0.025
    L41.H8      -0.030     -0.022    -0.003    -0.027
    L27.H9      +0.001     -0.020    -0.008    +0.009
    L35.H0      -0.024     -0.014    -0.007    -0.017
    L50.H13     +0.000     +0.000    -0.024    +0.025
    L28.H19     +0.010     -0.014    -0.000    +0.010
    L39.H28     -0.001     -0.014    -0.004    +0.003
    L34.H13     -0.008     -0.034    +0.013    -0.021
    L13.H3      -0.014     -0.035    +0.000    -0.014
    L52.H17     -0.012     -0.036    -0.015    +0.003
    L30.H3      +0.026     +0.037    +0.010    +0.016
    L 1.H26     -0.016     -0.019    -0.005    -0.011
    L 9.H10     +0.005     -0.017    +0.010    -0.005
    L22.H21     +0.100     +0.114    -0.003    +0.103
    L37.H4      -0.019     -0.036    -0.001    -0.018
    L58.H4      +0.013     +0.034    -0.027    +0.040
    L60.H8      +0.033     +0.023    -0.012    +0.044
    L49.H31     -0.032     -0.032    -0.008    -0.024
    L32.H8      -0.014     -0.022    -0.002    -0.012
    L41.H12     +0.011     +0.005    -0.001    +0.011
    L59.H6      +0.038     +0.014    -0.012    +0.050
    L 1.H7      -0.041     -0.057    +0.004    -0.045
    L15.H24     +0.002     +0.004    -0.008    +0.010
    L54.H1      +0.011     -0.022    +0.001    +0.011
    L56.H28     -0.003     -0.029    -0.028    +0.025
    L55.H17     +0.006     +0.012    -0.013    +0.019
    L16.H15     -0.015     -0.022    -0.005    -0.010
    L28.H9      -0.048     -0.055    -0.012    -0.036
    L21.H24     -0.020     -0.057    -0.005    -0.015
    L57.H12     -0.009     -0.007    -0.006    -0.002
    L18.H24     +0.020     -0.000    -0.026    +0.046
    L48.H29     -0.014     -0.011    +0.001    -0.016
    L48.H21     +0.003     -0.008    -0.008    +0.011
    L 6.H4      -0.020     -0.033    -0.013    -0.007
    L50.H29     +0.012     +0.004    -0.019    +0.031
    L44.H16     -0.025     -0.026    -0.010    -0.015
    L41.H11     -0.012     -0.041    -0.002    -0.010
    L27.H2      -0.027     -0.050    -0.003    -0.025
    L28.H8      -0.037     -0.037    -0.009    -0.028
    L 2.H10     +0.225     +0.211    +0.021    +0.204
    L49.H0      +0.001     -0.002    -0.009    +0.010
    L53.H15     +0.002     +0.021    +0.003    -0.001
    L17.H1      +0.002     -0.018    +0.005    -0.003
    L13.H24     -0.022     -0.029    -0.024    +0.002
    L32.H5      -0.004     -0.024    -0.013    +0.009
    L44.H28     -0.020     +0.002    -0.033    +0.013
    L14.H23     -0.012     -0.036    -0.026    +0.015
    L47.H4      -0.015     -0.011    -0.028    +0.013
    L35.H28     +0.007     +0.019    -0.007    +0.014
    L56.H2      +0.001     -0.013    +0.004    -0.003
    L 8.H22     -0.002     -0.022    -0.003    +0.001
    L45.H28     +0.003     -0.041    -0.020    +0.023
    L 5.H10     -0.011     -0.032    -0.019    +0.008
    L45.H15     -0.019     -0.036    +0.029    -0.048
    L16.H20     -0.016     -0.025    -0.011    -0.006
    L26.H3      -0.008     +0.018    -0.016    +0.009
    L28.H2      -0.013     -0.064    -0.003    -0.010
    L29.H4      +0.011     -0.021    -0.003    +0.014
    L26.H19     -0.018     -0.037    +0.010    -0.028
    L33.H22     -0.026     -0.037    -0.021    -0.005
    L53.H18     -0.019     -0.034    +0.002    -0.021
    L11.H10     -0.024     -0.019    -0.011    -0.013
    L29.H6      -0.024     -0.027    -0.009    -0.015
    L 7.H20     +0.161     +0.158    -0.010    +0.171
    L43.H15     +0.000     -0.014    +0.004    -0.004
    L 4.H11     +0.108     +0.114    -0.002    +0.110
    L47.H26     +0.004     -0.006    -0.003    +0.007
    L61.H28     -0.003     -0.018    -0.007    +0.004
    L31.H2      -0.054     -0.037    -0.001    -0.053
    L16.H6      -0.019     -0.005    +0.006    -0.025
    L16.H5      -0.022     -0.046    -0.006    -0.016
    L57.H24     -0.024     -0.026    -0.008    -0.016
    L 0.H7      -0.008     -0.030    -0.008    -0.000
    L24.H15     +0.007     -0.007    -0.000    +0.007
    L46.H25     -0.077     -0.076    -0.014    -0.062
